5002,1632
5099,1729
15101,1730
150104,4
150121,11
150163,49
150265,132
150786,556
151893,1372
152042,1488
201608,2184
815047,305065
816791,306319
1013974,316527
1025132,323932
1318239,444232
1357259,463211
1542382,578537
3079271,709958
3080152,710491
3159297,756054
3208596,788584
3212063,790359
3248593,809490
3272128,825730
3428213,866123
3436101,871218
3456072,877944
3576594,951856
3830807,1106116
3843187,1114464
3854245,1121812
3875746,1136024
3875934,1136175
3893585,1141002
3897646,1144068
3949854,1178391
4162949,1246786
4231474,1285497
4240569,1291512
4248135,1296429
4312576,1338684
4520480,1403827
4685317,1499616
4689169,1501680
4708265,1514170
4928585,1645814
4960249,1666629
5257013,1782572
5343782,1833472
5359745,1843742
5360947,1844555
5371875,1851794
5372794,1852450
5838936,2072803
5891865,2101180
5892057,2101325
6328067,2308368
6329684,2309599
6343615,2312380
6358976,2322156
7083767,2515901
7201036,2585362
7236728,2602617
8091210,2999501
7269213,2624149
7284520,2634524
7324252,2659897
7607178,2826051
7649105,2853696
7908952,2945431
8095063,3002375
8132481,3020130
8198182,3063709
8217170,3075362
8230460,3077702
8246560,3088070
8246862,3088243
8248082,3089143
8248589,3089554
8285126,3113959
8298245,3122805
8315628,3133248
8320531,3136815
8329798,3142942
8341091,3143826
8365369,3160087
8365965,3160498
8370316,3162883
8371943,3164123
8386027,3173657
8390861,3176451
8459806,3215119
8467698,3220135
8492793,3236897
8502746,3242695
8509370,3247568
8509728,3247863
8561841,3275577
8564138,3277266
8591917,3295319
8597201,3299192
8598374,3300060
8606792,3304693
8628178,3318855
8649652,3333097
333666999,540
